method,calls,total_ms,avg_ms,max_ms,pct_of_sampled
ZNet.Update,9277,10628.536,1.145687,9770.681,18.63
ZSyncTransform.CustomFixedUpdate,860958,10345.858,0.012017,4.951,18.14
Minimap.Update,9277,8500.795,0.916330,8257.108,14.90
ZNetScene.Update,9277,3536.820,0.381246,84.471,6.20
ZNetScene.CreateDestroyObjects,2718,3518.244,1.294424,84.467,6.17
WaterVolume.UpdateFloaters,157944,2919.759,0.018486,4.373,5.12
Smoke.CustomUpdate,613763,1557.525,0.002538,4.722,2.73
Fish.CustomFixedUpdate,347323,1280.124,0.003686,4.818,2.24
FejdStartup.Update,2027,1280.012,0.631481,115.640,2.24
Humanoid.CustomFixedUpdate,94625,1060.676,0.011209,8.305,1.86
Character.CustomFixedUpdate,112752,1026.960,0.009108,7.534,1.80
Heightmap.Regenerate,120,844.939,7.041155,33.007,1.48
ClutterSystem.LateUpdate,11304,821.514,0.072675,36.739,1.44
StaticPhysics.SUpdate,466608,798.268,0.001711,4.311,1.40
ClutterSystem.UpdateGrass,11154,643.163,0.057662,35.791,1.13
CharacterAnimEvent.CustomLateUpdate,177482,611.069,0.003443,5.341,1.07
VisEquipment.CustomUpdate,20518,542.766,0.026453,3.100,0.95
GameCamera.LateUpdate,9277,463.485,0.049961,5.837,0.81
Heightmap.CustomLateUpdate,259665,432.050,0.001664,8.909,0.76
Player.Update,20515,390.300,0.019025,4.844,0.68
Hud.Update,9277,368.840,0.039759,5.404,0.65
GameCamera.UpdateCamera,9277,361.327,0.038949,4.951,0.63
ZSyncAnimation.CustomFixedUpdate,157361,356.323,0.002264,4.660,0.62
VisEquipment.UpdateEquipmentVisuals,20524,291.654,0.014210,97.727,0.51
ZoneSystem.Update,9278,289.557,0.031209,8.305,0.51
Player.FixedUpdate,13710,273.346,0.019938,12.793,0.48
ZDOMan.Update,9277,248.648,0.026803,7.742,0.44
Character.UpdateGroundTilt,112752,227.373,0.002017,5.349,0.40
EnvMan.FixedUpdate,5358,212.104,0.039586,6.326,0.37
Player.UpdateStats,10281,205.494,0.019988,4.840,0.36
CharacterAnimEvent.UpdateFootIK,19403,203.703,0.010499,1.010,0.36
CharacterAnimEvent.CustomFixedUpdate,114480,201.539,0.001760,0.868,0.35
AudioMan.Update,11304,194.733,0.017227,5.060,0.34
Character.UpdateMotion,8453,193.213,0.022857,4.203,0.34
Heightmap.LateUpdate,259665,183.092,0.000705,4.788,0.32
EffectArea.CustomFixedUpdate,253763,178.271,0.000703,0.207,0.31
WearNTear.UpdateWear,69652,175.700,0.002523,5.004,0.31
FootStep.CustomUpdate,129677,153.929,0.001187,3.050,0.27
WaterVolume.StaticUpdate,18662,148.761,0.007971,5.943,0.26
Character.UpdateWalking,8453,147.864,0.017493,3.198,0.26
MonsterAI.UpdateAI,32371,138.186,0.004269,4.320,0.24
MusicMan.Update,11304,130.320,0.011529,5.157,0.23
SmokeSpawner.CustomUpdate,74550,129.268,0.001734,4.655,0.23
InventoryGui.Update,9277,100.420,0.010825,3.083,0.18
Minimap.UpdateMap,6168,97.235,0.015764,1.555,0.17
RandomFlyingBird.CustomFixedUpdate,44609,85.406,0.001915,0.398,0.15
AudioMan.FixedUpdate,7086,83.206,0.011742,0.462,0.15
Ship.CustomFixedUpdate,8702,80.304,0.009228,1.920,0.14
CraftingStation.CustomUpdate,61119,62.853,0.001028,5.811,0.11
ParticleMist.Update,9277,47.411,0.005111,4.263,0.08
EnvMan.Update,9277,43.101,0.004646,4.666,0.08
BaseAI.UpdateAI,40314,41.257,0.001023,4.316,0.07
MessageHud.Update,9277,32.393,0.003492,3.069,0.06
Chat.Update,9277,32.303,0.003482,1.631,0.06
Tameable.Update,26848,30.721,0.001144,0.826,0.05
TerrainComp.Update,37950,30.313,0.000799,0.180,0.05
AnimalAI.UpdateAI,7943,15.732,0.001981,0.072,0.03
Player.UpdatePlacementGhost,6168,13.324,0.002160,0.017,0.02
SEMan.Update,8453,10.423,0.001233,0.309,0.02
Fireplace.UpdateState,616,8.566,0.013906,1.319,0.02
MonsterAI.UpdateTarget,1735,8.172,0.004710,2.156,0.01
Smelter.UpdateSmelter,609,5.303,0.008707,0.746,0.01
SpawnSystem.UpdateSpawning,1426,2.512,0.001761,0.332,0.00
ClutterSystem.Awake,4,0.663,0.165650,0.566,0.00
Character.UpdateSwimming,0,0.000,0.000000,0.000,0.00
WearNTear.UpdateSupport,0,0.000,0.000000,0.000,0.00
ShieldGenerator.Update,0,0.000,0.000000,0.000,0.00
