Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,433.5992,10.7637,10.5884,0.1753,23.1401,16.7319,16.7319,0.0000,45.5697,14.0110,7.1802,433.5992,NA,37.1156,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,444.3629,10.1792,10.0456,0.1336,29.1083,15.5272,15.5272,0.0000,48.8170,6.8441,-3.2473,444.3629,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,454.5421,17.9519,17.5657,0.3862,34.4563,3.8196,3.6843,0.1353,45.4819,13.9056,3.3351,454.5421,NA,41.9728,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,472.4940,27.4435,27.2016,0.2419,26.3094,12.1963,12.1089,0.0874,41.4356,13.9000,4.0463,472.4940,NA,17.7846,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,499.9375,14.8587,14.4802,0.3785,11.1497,16.2132,15.7552,0.4580,27.8921,34.7387,13.5435,499.9375,NA,19.7323,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,514.7962,14.4327,14.2570,0.1757,12.5941,29.8136,29.7557,0.0579,47.7721,13.9856,-19.8800,514.7962,NA,40.5053,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,529.2289,14.1156,13.8952,0.2204,27.9750,15.2953,15.2953,0.0000,47.3250,6.9058,0.4471,529.2289,NA,38.4913,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,543.3445,7.9221,7.7658,0.1563,29.1547,3.2905,3.2119,0.0786,40.1152,27.8002,7.2098,543.3445,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,551.2666,33.2935,33.0847,0.2088,27.9817,31.0858,26.7594,4.3264,59.9933,20.8448,-19.8781,551.2666,NA,35.1636,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,584.5601,11.9697,11.8216,0.1481,25.8332,18.0843,18.0725,0.0118,47.5446,13.8773,12.4487,584.5601,NA,44.0561,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,596.5298,9.3499,9.0613,0.2886,31.9478,14.1971,14.1971,0.0000,49.4522,6.9766,-1.9076,596.5298,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,605.8797,17.6476,17.4949,0.1527,36.7950,3.4121,3.3431,0.0690,47.0789,20.8607,2.3733,605.8797,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,623.5273,25.4664,25.2677,0.1987,23.6315,24.3486,24.3147,0.0339,50.2920,13.9054,-3.2131,623.5273,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,648.9937,10.1010,9.9373,0.1637,22.5137,15.0971,14.9987,0.0984,38.7310,6.9582,11.5610,648.9937,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,659.0947,8.4151,8.2347,0.1804,27.5098,4.1835,4.0802,0.1033,35.5882,27.8417,3.1428,659.0947,NA,NA,NA
valheim.exe,8100,0x147123C9510,DXGI,1,0,0,Hardware: Independent Flip,667.5098,21.5991,21.3066,0.2925,23.2782,25.4517,25.3964,0.0553,55.0148,6.9190,-19.4266,667.5098,NA,37.3854,NA
