timestamp,gpu_util,mem_util,mem_used_mib,mem_total_mib,clock_graphics_mhz,clock_mem_mhz,power_w,temp_c
2026-09-13T20:01:53.2919858+01:00,90,51,3577,8192,1885,4455,134.24,66
2026-09-13T20:01:54.3777224+01:00,95,55,3577,8192,1885,4455,134.84,66
2026-09-13T20:01:55.4728967+01:00,89,53,3577,8192,1885,4455,112.74,66
2026-09-13T20:01:56.5779640+01:00,90,49,3577,8192,1885,4455,128.04,66
2026-09-13T20:01:57.6838022+01:00,97,53,3577,8192,1885,4455,122.35,66
2026-09-13T20:01:58.7907386+01:00,94,50,3577,8192,1885,4455,120.14,66
2026-09-13T20:01:59.8844121+01:00,98,53,3577,8192,1885,4455,125.66,66
2026-09-13T20:02:00.9674193+01:00,97,54,3577,8192,1885,4455,142.62,67
2026-09-13T20:02:02.0606079+01:00,96,47,3580,8192,1885,4455,140.03,67
2026-09-13T20:02:03.1515028+01:00,99,53,3580,8192,1885,4455,127.68,67
2026-09-13T20:02:04.2535304+01:00,95,45,3579,8192,1885,4455,134.32,67
2026-09-13T20:02:05.3597036+01:00,99,50,3567,8192,1885,4455,116.78,67
2026-09-13T20:02:06.4419831+01:00,95,50,3567,8192,1885,4455,139.49,67
2026-09-13T20:02:07.5324409+01:00,96,51,3576,8192,1885,4455,114.80,67
2026-09-13T20:02:08.6247740+01:00,90,51,3575,8192,1885,4455,126.57,67
2026-09-13T20:02:09.7128472+01:00,89,46,3575,8192,1885,4455,104.36,67
2026-09-13T20:02:10.7988620+01:00,97,51,3575,8192,1885,4455,129.04,67
2026-09-13T20:02:11.8949288+01:00,98,54,3589,8192,1885,4455,140.08,67
2026-09-13T20:02:12.9827538+01:00,98,52,3589,8192,1885,4455,134.04,67
2026-09-13T20:02:14.0784504+01:00,90,44,3574,8192,1885,4455,141.44,67
2026-09-13T20:02:15.1841738+01:00,97,51,3574,8192,1885,4455,135.26,67
2026-09-13T20:02:16.2857781+01:00,97,55,3574,8192,1885,4455,122.58,66
2026-09-13T20:02:17.3759840+01:00,87,51,3574,8192,1885,4455,117.18,66
2026-09-13T20:02:18.4890685+01:00,95,55,3574,8192,1885,4455,111.78,67
2026-09-13T20:02:19.5767466+01:00,96,50,3574,8192,1885,4455,113.37,66
2026-09-13T20:02:20.6654884+01:00,99,51,3574,8192,1885,4455,133.84,67
2026-09-13T20:02:21.7510901+01:00,90,48,3574,8192,1885,4455,138.65,67
2026-09-13T20:02:22.8632581+01:00,94,50,3592,8192,1885,4455,131.97,67
2026-09-13T20:02:23.9480215+01:00,96,55,3601,8192,1885,4455,148.31,67
2026-09-13T20:02:25.0310200+01:00,93,54,3571,8192,1885,4455,144.81,67
2026-09-13T20:02:26.1207947+01:00,94,52,3565,8192,1885,4455,98.46,67
2026-09-13T20:02:27.2094105+01:00,94,53,3565,8192,1885,4455,137.68,67
2026-09-13T20:02:28.3128325+01:00,96,53,3565,8192,1885,4455,145.53,67
2026-09-13T20:02:29.4221313+01:00,97,55,3553,8192,1885,4455,126.29,67
2026-09-13T20:02:30.5072529+01:00,98,51,3553,8192,1885,4455,134.49,67
2026-09-13T20:02:31.5927802+01:00,95,50,3553,8192,1885,4455,131.73,67
2026-09-13T20:02:32.7011646+01:00,96,50,3565,8192,1885,4455,102.66,67
2026-09-13T20:02:33.8042308+01:00,96,50,3565,8192,1885,4455,127.39,66
2026-09-13T20:02:34.9077558+01:00,94,49,3562,8192,1885,4455,134.23,67
